product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
nan-french-solo-ties,Rose Nan French Solo Ties,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_french-blue-solo-ties_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_french-rose-solo-ties_1.0.jpg,,,,,,,,,,
nan-fuchsia-bowtie-or-tie,Nan Fuchsia Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_fuchsia-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-fuchsia-solo-ties,Nan Fuchsia Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_fuchsia-solo-ties_1.0.jpg,,,,,,,,,,,
nan-light-blush-bowtie-or-tie,Nan Light Blush Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_light-blush-bowtie-or-tie_4.0.jpg,,,,,,,,,,,
nan-lettuce-solo-ties,Green Nan Lettuce Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_lettuce-green-solo-ties_2.0.jpg,,,,,,,,,,,
nan-lettuce-bowtie-or-tie,Green Nan Lettuce Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_lettuce-green-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-light-blush-solo-ties,Nan Light Blush Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_light-blush-solo-ties_2.0.jpg,,,,,,,,,,,
nan-light-bowtie-or-tie,Pink Nan Light Bowtie OR Tie,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_light-lilac-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_light-pink-bowtie-or-tie_3.0.jpg,,,,,,,,,,
nan-light-solo-ties,Pink Nan Light Solo Ties,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_light-lilac-solo-ties_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_light-pink-solo-ties_2.0.jpg,,,,,,,,,,
nan-lime-solo-ties,Nan Lime Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_lime-solo-ties_1.0.jpg,,,,,,,,,,,
nan-lime-bowtie-or-tie,Nan Lime Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_lime-bowtie-or-tie_2.0.jpg,,,,,,,,,,,
nan-magenta-bowtie-or-tie,Nan Magenta Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_magenta-bowtie-or-tie_4.0.jpg,,,,,,,,,,,
nan-magenta-solo-ties,Nan Magenta Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_magenta-solo-ties_3.0.jpg,,,,,,,,,,,
